"filename", "language", "C#", "comment", "blank", "total"
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CameraSystem\FollowTarget.cs", "C#", 15, 0, 3, 18
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CameraSystem\IdleCameraController.cs", "C#", 7, 0, 2, 9
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CameraSystem\PrintCameraController.cs", "C#", 19, 0, 3, 22
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CameraSystem\Repositioner.cs", "C#", 14, 0, 2, 16
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\AI\CustomerController.cs", "C#", 57, 9, 10, 76
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\AI\CustomerCounterController.cs", "C#", 36, 0, 6, 42
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\AI\CustomerShoppingController.cs", "C#", 41, 0, 10, 51
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\AI\CustomerStoreAccesswayController.cs", "C#", 38, 0, 7, 45
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\CharacterCustomizer.cs", "C#", 40, 0, 10, 50
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\CustomerAnimationsController.cs", "C#", 19, 0, 3, 22
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\CustomerBehaviourParameters.cs", "C#", 13, 0, 2, 15
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\CustomerSystem\CustomizationManager.cs", "C#", 9, 0, 1, 10
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\EventManager.cs", "C#", 66, 2, 12, 80
"e:\UnityProjects\Screen Print Shop\Assets\_Game\Scripts\FPSSetter.cs", "C#", 9, 0, 1, 10
